level,true_label,mean_prob_fake,std_prob_fake,mean_margin,std_margin,accuracy_overall,n,model
0,0,0.000986127456029256,0.0059482274380447675,-10.049259114583334,2.5072637908113675,0.9993333333333333,1500,clip_pre_norm
0,1,0.9945255788167318,0.03518788712223032,7.649197591145834,2.138442319553345,0.9993333333333333,1500,clip_pre_norm
1,0,0.00021200382709503173,0.0010950853694989735,-10.58553125,1.9228398232828927,0.8683333333333333,1500,clip_pre_norm
1,1,0.6743268330891927,0.26682339701780844,1.0959508768717448,1.7080944312798618,0.8683333333333333,1500,clip_pre_norm
2,0,0.0005713067452112834,0.003150935305251996,-9.444720052083333,1.8378706010240018,0.88,1500,clip_pre_norm
2,1,0.6942028096516927,0.26670552754011423,1.223784423828125,1.7420286355057704,0.88,1500,clip_pre_norm
3,0,0.007084573268890381,0.023633888087139943,-6.41621875,1.6785244245512516,0.94,1500,clip_pre_norm
3,1,0.8028589477539062,0.21819605629721725,2.1019947306315103,1.7556395303290493,0.94,1500,clip_pre_norm
4,0,0.09094026025136312,0.13168410764159988,-3.1268095703125,1.5532881648027261,0.9713333333333334,1500,clip_pre_norm
4,1,0.9256615295410157,0.14230694030694954,3.7475360514322915,1.8246575110066767,0.9713333333333334,1500,clip_pre_norm
5,0,0.2840351498921712,0.2398563627056127,-1.2841937154134115,1.5570246430827763,0.8973333333333333,1500,clip_pre_norm
5,1,0.9646607666015625,0.10658492264917671,5.211483642578125,2.0113451135974145,0.8973333333333333,1500,clip_pre_norm
6,0,0.47415309397379557,0.2667546694865354,-0.12581174723307292,1.5021200324780255,0.7646666666666667,1500,clip_pre_norm
6,1,0.9636983642578125,0.10672285600634233,5.328495564778646,2.1228691173141767,0.7646666666666667,1500,clip_pre_norm
7,0,0.6693406880696614,0.24013713893263067,0.9837857869466146,1.4666312030519464,0.613,1500,clip_pre_norm
7,1,0.9502445195515951,0.12250825493112524,4.8106448974609375,2.2042220211187002,0.613,1500,clip_pre_norm
8,0,0.8518603515625,0.16173241198538899,2.3688182474772135,1.4758444457151574,0.5146666666666667,1500,clip_pre_norm
8,1,0.9386115697224935,0.13412250326462713,4.196865386962891,2.015212914322943,0.5146666666666667,1500,clip_pre_norm
9,0,0.9471629638671875,0.09570396594649977,3.8368401692708334,1.51177036276267,0.49333333333333335,1500,clip_pre_norm
9,1,0.939048843383789,0.1290636316125899,3.974168701171875,1.817474115050103,0.49333333333333335,1500,clip_pre_norm
10,0,0.9728157552083333,0.06626607056201857,4.750930216471354,1.5544106646627756,0.49033333333333334,1500,clip_pre_norm
10,1,0.9435567830403646,0.12810601834896743,3.9792859700520835,1.6795426251742223,0.49033333333333334,1500,clip_pre_norm
